Algorithm;;Size;Success;Count;Time;;;
MEDIUM;LESS CONSTRAINED;17;True;575;0,18588376;;;
MEDIUM;LESS CONSTRAINED;18;True;768;0,267834663;;;
MEDIUM;LESS CONSTRAINED;19;True;1997;0,765527725;;;
MEDIUM;LESS CONSTRAINED;20;True;5973;2,556424141;;12130;4,473240852
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
MOST_CONSTRAINED;FIRST;4;True;8;0,000999928;;;
MOST_CONSTRAINED;FIRST;5;True;5;0;;;
MOST_CONSTRAINED;FIRST;6;True;31;0,001998186;;;
MOST_CONSTRAINED;FIRST;7;True;9;0,000998974;;;
MOST_CONSTRAINED;FIRST;8;True;113;0,010993481;;;
MOST_CONSTRAINED;FIRST;9;True;41;0,004996777;;;
MOST_CONSTRAINED;FIRST;10;True;102;0,012991428;;;
MOST_CONSTRAINED;FIRST;11;True;52;0,006996155;;;
MOST_CONSTRAINED;FIRST;12;True;261;0,04297328;;;
MOST_CONSTRAINED;FIRST;13;True;111;0,018988132;;;
MOST_CONSTRAINED;FIRST;14;True;1899;0,375770092;;;
MOST_CONSTRAINED;FIRST;15;True;1359;0,287821054;;;
MOST_CONSTRAINED;FIRST;16;True;10052;2,304578781;;;
MOST_CONSTRAINED;FIRST;17;True;5374;1,35816431;;;
MOST_CONSTRAINED;FIRST;18;True;41299;11,38497972;;;
MOST_CONSTRAINED;FIRST;19;True;2545;0,757532597;;;
MOST_CONSTRAINED;FIRST;20;True;199635;75,36552739;;262896;91,93631029
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
MOST_CONSTRAINED;MEDIUM;4;True;4;0;;;
MOST_CONSTRAINED;MEDIUM;5;True;5;0,000999689;;;
MOST_CONSTRAINED;MEDIUM;6;True;25;0,003996611;;;
MOST_CONSTRAINED;MEDIUM;7;True;15;0,002998114;;;
MOST_CONSTRAINED;MEDIUM;8;True;14;0,00199914;;;
MOST_CONSTRAINED;MEDIUM;9;True;14;0,002997875;;;
MOST_CONSTRAINED;MEDIUM;10;True;24;0,005996227;;;
MOST_CONSTRAINED;MEDIUM;11;True;16;0,004997015;;;
MOST_CONSTRAINED;MEDIUM;12;True;17;0,004998446;;;
MOST_CONSTRAINED;MEDIUM;13;True;54;0,020986795;;;
MOST_CONSTRAINED;MEDIUM;14;True;48;0,019987345;;;
MOST_CONSTRAINED;MEDIUM;15;True;32;0,013990641;;;
MOST_CONSTRAINED;MEDIUM;16;True;25;0,010993004;;;
MOST_CONSTRAINED;MEDIUM;17;True;24;0,011994839;;;
MOST_CONSTRAINED;MEDIUM;18;True;48;0,026984453;;;
MOST_CONSTRAINED;MEDIUM;19;True;138;0,076952219;;;
MOST_CONSTRAINED;MEDIUM;20;True;205;0,131919146;;708;0,342791557
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
MOST_CONSTRAINED;MOST CONSTRAINED;4;True;8;0,000996351;;;
MOST_CONSTRAINED;MOST CONSTRAINED;5;True;5;0,001004457;;;
MOST_CONSTRAINED;MOST CONSTRAINED;6;True;31;0,00499177;;;
MOST_CONSTRAINED;MOST CONSTRAINED;7;True;9;0,000999689;;;
MOST_CONSTRAINED;MOST CONSTRAINED;8;True;113;0,02498436;;;
MOST_CONSTRAINED;MOST CONSTRAINED;9;True;41;0,008994579;;;
MOST_CONSTRAINED;MOST CONSTRAINED;10;True;102;0,030980349;;;
MOST_CONSTRAINED;MOST CONSTRAINED;11;True;52;0,014992476;;;
MOST_CONSTRAINED;MOST CONSTRAINED;12;True;261;0,090943336;;;
MOST_CONSTRAINED;MOST CONSTRAINED;13;True;111;0,048969984;;;
MOST_CONSTRAINED;MOST CONSTRAINED;14;True;1899;0,867468834;;;
MOST_CONSTRAINED;MOST CONSTRAINED;15;True;1359;0,684574127;;;
MOST_CONSTRAINED;MOST CONSTRAINED;16;True;10052;4,914969683;;;
MOST_CONSTRAINED;MOST CONSTRAINED;17;True;5374;1,871846914;;;
MOST_CONSTRAINED;MOST CONSTRAINED;18;True;41299;15,30955768;;;
MOST_CONSTRAINED;MOST CONSTRAINED;19;True;2545;1,041356802;;;
MOST_CONSTRAINED;MOST CONSTRAINED;20;True;199636;151,239656;;262897;176,1572874
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
MOST_CONSTRAINED;LESS CONSTRAINED;4;True;8;0,000999928;;;
MOST_CONSTRAINED;LESS CONSTRAINED;5;True;5;0;;;
MOST_CONSTRAINED;LESS CONSTRAINED;6;True;31;0,00399828;;;
MOST_CONSTRAINED;LESS CONSTRAINED;7;True;9;0,001993656;;;
MOST_CONSTRAINED;LESS CONSTRAINED;8;True;113;0,020987749;;;
MOST_CONSTRAINED;LESS CONSTRAINED;9;True;41;0,00699544;;;
MOST_CONSTRAINED;LESS CONSTRAINED;10;True;102;0,022986889;;;
MOST_CONSTRAINED;LESS CONSTRAINED;11;True;52;0,016989231;;;
MOST_CONSTRAINED;LESS CONSTRAINED;12;True;261;0,080951691;;;
MOST_CONSTRAINED;LESS CONSTRAINED;13;True;111;0,037973404;;;
MOST_CONSTRAINED;LESS CONSTRAINED;14;True;1899;0,678582907;;;
MOST_CONSTRAINED;LESS CONSTRAINED;15;True;1359;0,511682749;;;
MOST_CONSTRAINED;LESS CONSTRAINED;16;True;10052;3,178040028;;;
MOST_CONSTRAINED;LESS CONSTRAINED;17;True;5374;1,866852045;;;
MOST_CONSTRAINED;LESS CONSTRAINED;18;True;41299;15,61843896;;;
MOST_CONSTRAINED;LESS CONSTRAINED;19;True;2545;1,12230587;;;
MOST_CONSTRAINED;LESS CONSTRAINED;20;True;199635;107,9649353;;262896;131,1347141
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
LESS CONSTRAINED;FIRST;4;True;8;0,00100112;;;
LESS CONSTRAINED;FIRST;5;True;5;0;;;
LESS CONSTRAINED;FIRST;6;True;31;0,003996372;;;
LESS CONSTRAINED;FIRST;7;True;9;0,000999451;;;
LESS CONSTRAINED;FIRST;8;True;113;0,017986059;;;
LESS CONSTRAINED;FIRST;9;True;41;0,00699544;;;
LESS CONSTRAINED;FIRST;10;True;102;0,02398634;;;
LESS CONSTRAINED;FIRST;11;True;52;0,012990952;;;
LESS CONSTRAINED;FIRST;12;True;261;0,066958904;;;
LESS CONSTRAINED;FIRST;13;True;111;0,031980276;;;
LESS CONSTRAINED;FIRST;14;True;1899;0,681584835;;;
LESS CONSTRAINED;FIRST;15;True;1359;0,478699684;;;
LESS CONSTRAINED;FIRST;16;True;10052;3,84763217;;;
LESS CONSTRAINED;FIRST;17;True;5374;2,245613098;;;
LESS CONSTRAINED;FIRST;18;True;41299;18,96853137;;;
LESS CONSTRAINED;FIRST;19;True;2545;1,324181318;;;
LESS CONSTRAINED;FIRST;20;True;199635;89,54729939;;262896;117,2604368
;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;
LESS CONSTRAINED;MEDIUM;4;True;4;0,000999928;;;
LESS CONSTRAINED;MEDIUM;5;True;5;0;;;
LESS CONSTRAINED;MEDIUM;6;True;25;0,003996849;;;
LESS CONSTRAINED;MEDIUM;7;True;15;0,00199914;;;
LESS CONSTRAINED;MEDIUM;8;True;14;0,002998352;;;
LESS CONSTRAINED;MEDIUM;9;True;14;0,001998425;;;
LESS CONSTRAINED;MEDIUM;10;True;24;0,005996466;;;
LESS CONSTRAINED;MEDIUM;11;True;16;0,002997875;;;
LESS CONSTRAINED;MEDIUM;12;True;17;0,003997803;;;
LESS CONSTRAINED;MEDIUM;13;True;54;0,016989231;;;
LESS CONSTRAINED;MEDIUM;14;True;48;0,015990019;;;
LESS CONSTRAINED;MEDIUM;15;True;32;0,010993242;;;
