;;Size;Success;Count;Time
MOST_CONSTRAINED;FIRST;14;True;1427;0,181885719
MOST_CONSTRAINED;FIRST;15;True;845;0,142910719
MOST_CONSTRAINED;FIRST;16;True;6637;1,150291204
MOST_CONSTRAINED;FIRST;17;True;4772;0,874550104
MOST_CONSTRAINED;FIRST;18;True;37234;7,268075466
MOST_CONSTRAINED;FIRST;19;True;13883;2,906294346
MOST_CONSTRAINED;FIRST;20;True;155671;35,43939495
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
MOST_CONSTRAINED;LAST;4;True;9;0
MOST_CONSTRAINED;LAST;5;True;5;0,000999928
MOST_CONSTRAINED;LAST;6;True;27;0,000999212
MOST_CONSTRAINED;LAST;7;True;9;0
MOST_CONSTRAINED;LAST;8;True;89;0,005997181
MOST_CONSTRAINED;LAST;9;True;33;0,001998425
MOST_CONSTRAINED;LAST;10;True;257;0,02098608
MOST_CONSTRAINED;LAST;11;True;188;0,01798892
MOST_CONSTRAINED;LAST;12;True;193;0,018991947
MOST_CONSTRAINED;LAST;13;True;296;0,034977913
MOST_CONSTRAINED;LAST;14;True;1427;0,184886217
MOST_CONSTRAINED;LAST;15;True;845;0,121924639
MOST_CONSTRAINED;LAST;16;True;6637;1,047351122
MOST_CONSTRAINED;LAST;17;True;4772;0,847097158
MOST_CONSTRAINED;LAST;18;True;37234;7,17710948
MOST_CONSTRAINED;LAST;19;True;13883;2,965710878
MOST_CONSTRAINED;LAST;20;True;155671;35,97245383
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
MOST_CONSTRAINED;MEDIUM;4;True;4;0
MOST_CONSTRAINED;MEDIUM;5;True;5;0
MOST_CONSTRAINED;MEDIUM;6;True;22;0,000999689
MOST_CONSTRAINED;MEDIUM;7;True;12;0,000998974
MOST_CONSTRAINED;MEDIUM;8;True;38;0,002998114
MOST_CONSTRAINED;MEDIUM;9;True;14;0,000999451
MOST_CONSTRAINED;MEDIUM;10;True;177;0,01598978
MOST_CONSTRAINED;MEDIUM;11;True;115;0,010993481
MOST_CONSTRAINED;MEDIUM;12;True;31;0,003997564
MOST_CONSTRAINED;MEDIUM;13;True;43;0,004997015
MOST_CONSTRAINED;MEDIUM;14;True;53;0,006995916
MOST_CONSTRAINED;MEDIUM;15;True;22;0,002997875
MOST_CONSTRAINED;MEDIUM;16;True;26;0,002997875
MOST_CONSTRAINED;MEDIUM;17;True;45;0,00699544
MOST_CONSTRAINED;MEDIUM;18;True;116;0,022984505
MOST_CONSTRAINED;MEDIUM;19;True;184;0,040974855
MOST_CONSTRAINED;MEDIUM;20;True;69;0,015990257
;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time
MOST_CONSTRAINED;MOST CONSTRAINED;4;False;0;0,000999451
MOST_CONSTRAINED;MOST CONSTRAINED;5;True;5;0
MOST_CONSTRAINED;MOST CONSTRAINED;6;True;33;0,001998663
MOST_CONSTRAINED;MOST CONSTRAINED;7;True;9;0,000999689
MOST_CONSTRAINED;MOST CONSTRAINED;8;True;49;0,00399518
MOST_CONSTRAINED;MOST CONSTRAINED;9;True;94;0,009996176
MOST_CONSTRAINED;MOST CONSTRAINED;10;True;152;0,018985987
MOST_CONSTRAINED;MOST CONSTRAINED;11;True;191;0,025985718
MOST_CONSTRAINED;MOST CONSTRAINED;12;True;637;0,100937128
MOST_CONSTRAINED;MOST CONSTRAINED;13;True;276;0,049971581
MOST_CONSTRAINED;MOST CONSTRAINED;14;True;1158;0,237853527
MOST_CONSTRAINED;MOST CONSTRAINED;15;True;1238;0,282823563
MOST_CONSTRAINED;MOST CONSTRAINED;16;True;10707;2,821860075
MOST_CONSTRAINED;MOST CONSTRAINED;17;True;5057;1,493077517
MOST_CONSTRAINED;MOST CONSTRAINED;18;True;52825;44,49783921
MOST_CONSTRAINED;MOST CONSTRAINED;19;True;27226;48,4213922
MOST_CONSTRAINED;MOST CONSTRAINED;20;True;104120;234,3536234
