;;Size;Success;Count;Time;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;13;True;208;0,075951576;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;14;True;445;0,188884258;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;15;True;199;0,093941689;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;16;True;486;0,244848728;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;17;True;406;0,220865011;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;18;True;440;0,250846624;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;19;True;1115;0,73654604;;;;;;;;;;
MEDIUM;MOST CONSTRAINED;20;True;3519;2,504455328;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;4;True;5;0;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;5;True;5;0,000999689;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;6;True;24;0,002997875;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;7;True;12;0,00199914;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;8;True;13;0,001998663;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;9;True;33;0,00699544;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;10;True;33;0,006995916;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;11;True;99;0,024984837;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;12;True;65;0,021986485;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;13;True;208;0,074953794;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;14;True;445;0,186882973;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;15;True;199;0,093943596;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;16;True;481;0,250845432;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;17;True;406;0,217865944;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;18;True;440;0,257840872;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;19;True;1115;0,747536421;;;;;;;;;;
MEDIUM;LESS CONSTRAINED;20;True;3519;2,485470295;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;4;True;8;0,000999451;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;5;True;5;0,000998974;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;6;True;27;0,004997015;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;7;True;7;0,001998425;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;8;True;75;0,020987034;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;9;True;25;0,00899148;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;10;True;35;0,023988485;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;11;True;60;0,031980276;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;12;True;153;0,084944248;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;13;True;203;0,148911238;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;14;True;124;0,103935957;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;15;True;34;0,039975405;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;16;True;44;0,054966211;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;17;True;58;0,08095026;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;18;True;55;0,092942715;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;19;True;52;0,094941378;;;;;;;;;;
MOST_CONSTRAINED;NORMAL;20;True;145;0,24984479;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;4;True;4;0,000998259;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;5;True;5;0,000998974;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;6;True;19;0,005996466;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;7;True;10;0,002997875;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;8;True;10;0,003997087;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;9;True;12;0,005996704;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;10;True;32;0,014990568;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;11;True;28;0,015991449;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;12;True;12;0,011991739;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;13;True;105;0,067959309;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;14;True;30;0,037975788;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;15;True;133;0,124922276;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;16;True;112;0,111933947;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;17;True;43;0,06395936;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;18;True;697;0,781516075;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;19;True;294;0,391762257;;;;;;;;;;
MOST_CONSTRAINED;MEDIUM;20;True;303;0,439728498;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;4;True;8;0,000998735;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;5;True;5;0,000997066;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;6;True;27;0,005000114;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;7;True;7;0,002997637;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;8;True;75;0,020987034;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;9;True;25;0,010991812;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;10;True;42;0,019987345;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;11;True;64;0,034978628;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;12;True;153;0,091942787;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;13;True;203;0,143913269;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;14;True;124;0,104933739;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;15;True;31;0,038977623;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;16;True;44;0,058960676;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;17;True;54;0,080951452;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;18;True;55;0,098937273;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;19;True;52;0,09894228;;;;;;;;;;
MOST_CONSTRAINED;MOST CONSTRAINED;20;True;145;0,248845339;;;;;;;;;;
;;;;;;;;;;;;;;;
Variable Heuristic;Value Heuristic;Size;Success;Count;Time;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;4;True;8;0,000999689;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;5;True;5;0,000999212;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;6;True;27;0,005996227;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;7;True;7;0,001998663;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;8;True;75;0,021986485;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;9;True;25;0,009993792;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;10;True;35;0,016989708;;;;;;;;;;
MOST_CONSTRAINED;LESS CONSTRAINED;11;True;60;0,033978462;;;;;;;;;;
