Kolumna1;Kolumna2;Size;Success;Count;Time
MEDIUM;LESS CONSTRAINED;15;True;200;0,092942715
MEDIUM;LESS CONSTRAINED;16;True;409;0,22786212
MEDIUM;LESS CONSTRAINED;17;True;412;0,21386838
MEDIUM;LESS CONSTRAINED;18;True;439;0,244848013
MEDIUM;LESS CONSTRAINED;19;True;1126;0,712558746
MEDIUM;LESS CONSTRAINED;20;True;3511;2,435498476
MOST_CONSTRAINED;NORMAL;4;True;8;0,000999212
MOST_CONSTRAINED;NORMAL;5;True;5;0,000999451
MOST_CONSTRAINED;NORMAL;6;True;27;0,004997969
MOST_CONSTRAINED;NORMAL;7;True;7;0,00199914
MOST_CONSTRAINED;NORMAL;8;True;75;0,020986319
MOST_CONSTRAINED;NORMAL;9;True;25;0,008994818
MOST_CONSTRAINED;NORMAL;10;True;35;0,016989708
MOST_CONSTRAINED;NORMAL;11;True;60;0,030979156
MOST_CONSTRAINED;NORMAL;12;True;153;0,082948923
MOST_CONSTRAINED;NORMAL;13;True;203;0,130920172
MOST_CONSTRAINED;NORMAL;14;True;124;0,096939564
MOST_CONSTRAINED;NORMAL;15;True;34;0,037976265
MOST_CONSTRAINED;NORMAL;16;True;44;0,054966211
MOST_CONSTRAINED;NORMAL;17;True;58;0,088945389
MOST_CONSTRAINED;NORMAL;18;True;55;0,110931635
MOST_CONSTRAINED;NORMAL;19;True;52;0,097939253
MOST_CONSTRAINED;NORMAL;20;True;145;0,227860928
MOST_CONSTRAINED;MEDIUM;4;True;4;0
MOST_CONSTRAINED;MEDIUM;5;True;5;0,001000166
MOST_CONSTRAINED;MEDIUM;6;True;19;0,003997326
MOST_CONSTRAINED;MEDIUM;7;True;10;0,002999067
MOST_CONSTRAINED;MEDIUM;8;True;10;0,003997564
MOST_CONSTRAINED;MEDIUM;9;True;12;0,005996704
MOST_CONSTRAINED;MEDIUM;10;True;32;0,013990879
MOST_CONSTRAINED;MEDIUM;11;True;28;0,014987946
MOST_CONSTRAINED;MEDIUM;12;True;12;0,011992693
MOST_CONSTRAINED;MEDIUM;13;True;105;0,064959764
MOST_CONSTRAINED;MEDIUM;14;True;30;0,027982473
MOST_CONSTRAINED;MEDIUM;15;True;133;0,096940279
MOST_CONSTRAINED;MEDIUM;16;True;112;0,107934952
MOST_CONSTRAINED;MEDIUM;17;True;43;0,064960241
